Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m2	0.5	0.5	0	0.5	0.5	0.5
m31	0.333333333333333	0.333333333333333	0	0.333333333333333	1	0.333333333333333
m5	0.25	0.25	0	0.25	0.5	0.25
m6	0.333333333333333	0.333333333333333	0	0.333333333333333	0.333333333333333	0.333333333333333
m26	0.333333333333333	0.333333333333333	0	0.333333333333333	0.333333333333333	0.333333333333333
m9	0.25	0.25	0.5	0.25	0.25	0.25
m11	0.333333333333333	0.333333333333333	1	0.333333333333333	0.333333333333333	0.333333333333333
m10	0.25	0.25	0.5	0.25	0.25	0.25
m13	0.333333333333333	0.333333333333333	1	0.333333333333333	0.333333333333333	0.333333333333333
m16	1	0.5	0	0.5	0.333333333333333	0.5
m17	1	0.333333333333333	0	0.333333333333333	0.333333333333333	0.333333333333333
m19	0.5	0.333333333333333	0	0.333333333333333	0.25	0.333333333333333
m1	0	1	0	1	0	1
m22	0	0.5	0	0.5	0	0.5
m23	0	1	0	1	0	1
m18	0	0	0	0	0	0
m25	0	0	0	0	0	0
m27	0	0	0	0	0	0
m28	0	0	0	0	0	0
m29	0	0	0	0	0	0
m14	0	0	0	0	0	0
m34	0	0	0	0	0	0
m35	0	0	0	0	0	0
m36	0	0	0	0	0	0
m37	0	0	0	0	0	0
m39	0	0	0	0	0	0
m40	0	0	0	0	0	0
m38	0	0	0	0	0	0
m41	0	0	0	0	0	0
m42	0	0	0	0	0	0
m43	0	0	0	0	0	0
m44	0	0	0	0	0	0
m45	0	0	0	0	0	0
m46	0	0	0	0	0	0
m47	0	0	0	0	0	0
m48	0	0	0	0	0	0
m49	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m53	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667
m54	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m55	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m57	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m60	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m63	0.111111111111111	0.1	0	0.1	0.0909090909090909	0.1
m65	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m67	0	0	0	0	0	0
m68	0	0	0	0	0	0
m69	0	0	0	0	0	0
m70	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m71	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667
m72	0	0	0	0	0	0
m73	0	0	0	0	0	0
m74	0	0	0	0	0	0
m76	0	0	0	0	0	0
m77	0	0	0	0	0	0
m78	0	0	0	0	0	0
m79	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m80	0	0	0	0	0	0
m81	0	0	0	0	0	0
m82	0	0	0	0	0	0
m83	0	0	0	0	0	0
m84	0	0	0	0	0	0
m85	0	0	0	0	0	0
m86	0	0	0	0	0	0
m87	0	0	0	0	0	0
m88	0	0	0	0	0	0
m89	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m91	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m94	0	0	0	0	0	0
m95	0	0	0	0	0	0
m96	0	0	0	0	0	0
m97	0	0	0	0	0	0
m100	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m101	0	0	0	0	0	0
m102	0	0	0	0	0	0
m103	0	0	0	0	0	0
m104	0	0	0	0	0	0
m105	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m106	0	0	0	0	0	0
m107	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m108	0	0	0	0	0	0
m109	0	0	0	0	0	0
m110	0	0	0	0	0	0
m111	0	0	0	0	0	0
m112	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m113	0	0	0	0	0	0
m114	0	0	0	0	0	0
m115	0	0	0	0	0	0
m116	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m117	0	0	0	0	0	0
m118	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m119	0	0	0	0	0	0
m120	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m121	0	0	0	0	0	0
m122	0	0	0	0	0	0
m123	0	0	0	0	0	0
m124	0	0	0	0	0	0
m125	0	0	0	0	0	0
m126	0	0	0	0	0	0
m127	0	0	0	0	0	0
m128	0	0	0	0	0	0
m129	0	0	0	0	0	0
m130	0	0	0	0	0	0
m131	0	0	0	0	0	0
m132	0	0	0	0	0	0
m133	0	0	0	0	0	0
m134	0	0	0	0	0	0
m135	0	0	0	0	0	0
m136	0	0	0	0	0	0
m137	0	0	0	0	0	0
m138	0	0	0	0	0	0
m139	0	0	0	0	0	0
m140	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m141	0	0	0	0	0	0
m142	0	0	0	0	0	0
m143	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m144	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m145	0	0	0	0	0	0
m146	0	0	0	0	0	0
m147	0	0	0	0	0	0
m148	0	0	0	0	0	0
m149	0	0	0	0	0	0
m150	0	0	0	0	0	0
m151	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m152	0	0	0	0	0	0
m90	0	0	0	0	0	0
m153	0	0	0	0	0	0
m154	0	0	0	0	0	0
m155	0	0	0	0	0	0
m156	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m157	0	0	0	0	0	0
m158	0	0	0	0	0	0
m61	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m159	0	0	0	0	0	0
m160	0	0	0	0	0	0
m161	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m162	0	0	0	0	0	0
m163	0	0	0	0	0	0
m164	0	0	0	0	0	0
m165	0	0	0	0	0	0
m166	0	0	0	0	0	0
m167	0	0	0	0	0	0
m168	0	0	0	0	0	0
m169	0	0	0	0	0	0
m170	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m171	0	0	0	0	0	0
m172	0	0	0	0	0	0
m173	0	0	0	0	0	0
m174	0	0	0	0	0	0
m175	0	0	0	0	0	0
m176	0	0	0	0	0	0
m177	0	0	0	0	0	0
m178	0	0	0	0	0	0
m179	0	0	0	0	0	0
m180	0	0	0	0	0	0
m181	0	0	0	0	0	0
m182	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m183	0	0	0	0	0	0
m184	0	0	0	0	0	0
m185	0	0	0	0	0	0
m186	0	0	0	0	0	0
m187	0	0	0	0	0	0
m188	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m189	0	0	0	0	0	0
m190	0	0	0	0	0	0
m191	0	0	0	0	0	0
m192	0	0	0	0	0	0
m193	0	0	0	0	0	0
m194	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m195	0	0	0	0	0	0
m196	0	0	0	0	0	0
m197	0	0	0	0	0	0
m198	0	0	0	0	0	0
m199	0	0	0	0	0	0
m200	0	0	0	0	0	0
m201	0	0	0	0	0	0
m202	0	0	0	0	0	0
m203	0	0	0	0	0	0
m204	0	0	0	0	0	0
m205	0	0	0	0	0	0
