Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m2	10	10	10	10	10	10
m31	4	4	4	4	4	4
m5	1	1	1	1	1	1
m6	1	1	1	1	1	1
m26	1	1	1	1	1	1
m9	1	1	1	1	1	1
m11	4	4	4	4	4	4
m10	1	1	1	1	1	1
m13	1	1	1	1	1	1
m16	5	5	5	5	5	5
m17	1	1	1	1	1	1
m19	1	1	1	1	1	1
m1	5	5	5	5	5	5
m22	2	2	2	2	2	2
m23	5	5	5	5	5	5
m18	1	1	1	1	1	1
m25	1	1	1	1	1	1
m27	2	2	2	2	2	2
m28	2	2	2	2	2	2
m29	2	2	2	2	2	2
m14	1	1	1	1	1	1
m1737	0	0	0	0	0	0
