Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m1690	0	0	0	0	0	0
m1691	2	2	2	2	2	2
m2880	3	3	3	3	3	3
m2901	2	2	2	2	2	2
m2872	1	1	1	1	1	1
m2871	1	1	1	1	1	1
m2870	1	1	1	1	1	1
m2885	1	1	1	1	1	1
m2886	2	2	2	2	2	2
m2863	1	1	1	1	1	1
m2865	1	1	1	1	1	1
m2890	4	4	4	4	4	4
m2889	0	0	0	0	0	0
m1096	2	2	2	2	2	2
m2536	1	1	1	1	1	1
m2879	3	3	3	3	3	3
m2894	3	3	3	3	3	3
m2891	0	0	0	0	0	0
m2896	0	0	0	0	0	0
m2897	0	0	0	0	0	0
m2898	0	0	0	0	0	0
m2899	0	0	0	0	0	0
m2888	0	0	0	0	0	0
