Molecule	Type	actin cytoskeleton reorganization	actin filament debranching	actin filament polymerization	adhesion strenghtening and intraluminal crawling	ameboidal-type cell migration	angiogenesis	anti-inflammatory molecule gene expression	apoptotic cell clearance	apoptotic process	capture rolling	cell adhesion	cell motility	cytokine production involved in inflammatory response	degradation of membrane-associated molecules	destruction of pathogens	digestion of microbes/particles/...	endosomal vesicle fusion	endothelial cell proliferation	endothelial migration	epithelial cell proliferation involved in lung morphogenesis	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast efferocytosis	fibroblast migration	firm adhesion	focal adhesion	formation of intraluminal vesicles	fusion with late endosomes	gluconeogenese	glycogen synthesis	glycolysis	hypothermia	keratinocyte migration	keratinocyte proliferation	ketogenic acid synthesis	leukocyte migration	leukotriene synthesis	lipoxin synthesis	lymphocyte chemotaxis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage clearance	macrophage derived foam cell differentiation	macrophage differentiation	maresin synthesis	membrane hyperpolarization	microtubule cytoskeleton organization	microtubule-based movement	monocyte chemotaxis	monocyte extravasation	myeloid dendritic cell differentiation	myosin ii filament organization	natural killer cell chemotaxis	neurotrophy	neutrophil apoptotic process	neutrophil chemotaxis	neutrophil extravasation	nf-κb response	p38mapk cascade	pamp recognition	phagocytic cup	phagocytosis, engulfment	phagosome maturation	phagosome sealing	phagosome-lysosome fusion	platelet activation	platelet aggregation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of cellular response to insulin stimulus	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	recognition of a target particle	regulation of actin cytoskeleton reorganization	regulation of acute inflammatory response	resolution of airway inflammation	resolution of edema	resolvin synthesis	response to endoplasmic reticulum stress	sensory perception of pain	site of dna damage	slow rolling	stat3 pathway	thromboxan synthesis	tissue homeostasis	unknown signalling cascades	uptake of srbc	vascular associated smooth muscle cell migration	vasoconstriction	vasodilation	wound constriction	wound healing
Ca2+	ION	2	6	5	5	6	-9	0	5	-4	10	8	1	0	0	3	10	10	-10	0	0	3	5	-15	0	0	5	-12	0	0	-14	-16	-11	0	7	7	-13	0	-12	-9	0	6	-7	0	-8	6	-9	5	-8	0	0	4	6	8	7	0	-8	2	3	0	6	9	7	2	7	6	0	1	1	8	0	5	0	3	7	9	-8	4	2	8	0	0	-9	-8	0	-8	5	4	8	3	1	0	6	3	-3	0	-8
BIRC3	PROTEIN	11	-14	-10	-11	-11	-9	0	-7	-4	12	-13	-11	0	0	11	-13	-13	-10	0	0	-11	11	-15	0	0	-9	12	0	0	-14	-16	-11	0	-7	10	-13	0	-16	-9	0	8	-7	0	-8	-8	-9	-12	11	0	0	11	-8	-9	9	0	-8	-11	-9	0	8	3	-12	-9	-10	-9	0	-11	-11	-11	0	8	0	-10	10	-13	-11	-12	-12	-11	0	0	-9	-8	0	-4	-11	11	10	12	-8	0	-11	12	-12	0	-13
PPP2CA	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RELA	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKB1	PROTEIN	-9	12	8	-9	9	7	0	5	2	-10	11	-9	0	0	-9	11	11	8	0	0	9	-9	13	0	0	7	-10	0	0	12	14	9	0	-8	-8	11	0	-14	7	0	-6	5	0	6	-6	7	10	-9	0	0	-9	-6	7	-7	0	6	9	7	0	-6	-9	10	7	8	7	0	9	9	9	0	-6	0	8	-8	-11	9	10	10	9	0	0	7	6	0	2	-9	-9	-8	-10	6	0	9	-10	-10	0	11
NFKB	COMPLEX	3	-6	4	2	5	9	0	4	-6	6	4	3	0	0	5	-10	-10	10	0	0	5	3	-13	0	0	2	-8	0	0	-10	-12	-9	0	3	3	-11	0	-8	-5	0	2	-3	0	-4	2	-5	7	-4	0	0	6	2	-7	3	0	-7	2	-3	0	2	5	6	4	-7	-6	0	3	3	5	0	-7	0	4	3	5	7	-4	4	5	0	0	-5	-4	0	-6	2	6	4	5	3	0	5	5	-5	0	6
PTGS2	PROTEIN	-7	-10	6	7	7	11	0	4	6	-10	9	6	0	0	-6	11	11	12	0	0	8	-7	12	0	0	7	-7	0	0	9	11	8	0	2	2	10	0	-7	4	0	-6	5	0	6	6	7	7	-9	0	0	-8	-6	7	-8	0	6	7	7	0	-6	-9	8	7	8	7	0	6	6	7	0	-6	0	-7	2	4	10	-8	7	7	0	0	4	6	0	8	7	-6	-7	-7	6	0	7	-7	7	0	9
IL1B	PROTEIN	-8	-11	7	8	8	12	0	5	7	-11	10	7	0	0	-7	12	12	13	0	0	9	-8	13	0	0	8	-8	0	0	10	12	9	0	3	3	11	0	-8	5	0	-7	6	0	7	2	8	8	-10	0	0	-9	-7	8	-9	0	7	8	8	0	-7	-10	9	8	9	8	0	7	7	8	0	-7	0	-8	3	5	11	-9	8	8	0	0	5	7	0	9	8	-7	-8	-8	7	0	8	-8	8	0	10
APP	PROTEIN	-9	-12	8	9	9	13	0	6	8	-12	11	8	0	0	-8	13	13	14	0	0	10	-9	14	0	0	9	-9	0	0	11	13	10	0	4	4	12	0	-9	6	0	-8	7	0	8	3	9	9	-11	0	0	-10	-8	9	-10	0	8	9	9	0	-8	-11	10	9	10	9	0	8	8	9	0	-8	0	-9	4	6	12	-10	9	9	0	0	6	8	0	10	9	-8	-9	-9	8	0	9	-9	9	0	11
sAPPalpha	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
