Molecule	Type	actin cytoskeleton reorganization	actin filament debranching	actin filament polymerization	adhesion strenghtening and intraluminal crawling	ameboidal-type cell migration	angiogenesis	anti-inflammatory molecule gene expression	apoptotic cell clearance	apoptotic process	capture rolling	cell adhesion	cell motility	cytokine production involved in inflammatory response	degradation of membrane-associated molecules	destruction of pathogens	digestion of microbes/particles/...	endosomal vesicle fusion	endothelial cell proliferation	endothelial migration	epithelial cell proliferation involved in lung morphogenesis	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast efferocytosis	fibroblast migration	firm adhesion	focal adhesion	formation of intraluminal vesicles	fusion with late endosomes	gluconeogenese	glycogen synthesis	glycolysis	hypothermia	keratinocyte migration	keratinocyte proliferation	ketogenic acid synthesis	leukocyte migration	leukotriene synthesis	lipoxin synthesis	lymphocyte chemotaxis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage clearance	macrophage derived foam cell differentiation	macrophage differentiation	maresin synthesis	membrane hyperpolarization	microtubule cytoskeleton organization	microtubule-based movement	monocyte chemotaxis	monocyte extravasation	myeloid dendritic cell differentiation	myosin ii filament organization	natural killer cell chemotaxis	neurotrophy	neutrophil apoptotic process	neutrophil chemotaxis	neutrophil extravasation	nf-κb response	p38mapk cascade	pamp recognition	phagocytic cup	phagocytosis, engulfment	phagosome maturation	phagosome sealing	phagosome-lysosome fusion	platelet activation	platelet aggregation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of cellular response to insulin stimulus	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	recognition of a target particle	regulation of actin cytoskeleton reorganization	regulation of acute inflammatory response	resolution of airway inflammation	resolution of edema	resolvin synthesis	response to endoplasmic reticulum stress	sensory perception of pain	site of dna damage	slow rolling	stat3 pathway	thromboxan synthesis	tissue homeostasis	unknown signalling cascades	uptake of srbc	vascular associated smooth muscle cell migration	vasoconstriction	vasodilation	wound constriction	wound healing
Ca2+	ION	2	6	5	5	6	-5	0	-5	-4	6	-5	1	0	0	3	9	9	-10	0	0	3	-5	-14	0	-5	4	-5	0	0	-7	-9	-6	0	5	5	-12	0	-10	-6	0	-4	-4	0	-6	3	-6	5	6	0	0	4	4	5	-6	0	4	2	3	0	4	4	7	2	6	5	0	1	1	-6	0	-4	0	3	-5	7	6	4	2	-6	0	0	-6	-6	0	4	-5	4	-6	3	1	0	-6	3	-3	0	-8
BIRC3	PROTEIN	-5	-8	5	-6	6	-5	0	4	-4	-8	-5	5	0	0	5	-11	-11	-10	0	0	-9	4	-15	0	-5	-4	3	0	0	-7	-9	-7	0	-5	-5	-13	0	10	-6	0	-5	-4	0	5	-4	-6	-10	-6	0	0	5	-5	-7	-7	0	-5	-4	-6	0	-5	3	7	-5	-8	-7	0	-7	-7	-7	0	-5	0	-6	-4	-7	6	-6	-5	-7	0	0	-6	5	0	-4	-6	6	-7	-4	-4	0	4	4	-4	0	-9
PPP2CA	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RELA	PROTEIN	-5	5	-5	-4	-6	-3	0	-3	2	6	-3	4	0	0	4	9	9	8	0	0	-7	-4	-12	0	-3	2	-3	0	0	6	8	4	0	3	3	-10	0	-8	4	0	-2	2	0	-4	2	4	-7	-5	0	0	3	2	5	-5	0	2	2	-3	0	2	3	-7	4	6	5	0	-5	-5	5	0	-2	0	-4	3	5	-5	3	4	5	0	0	4	-4	0	3	-4	5	-4	4	3	0	-4	-4	4	0	7
NFKB1	PROTEIN	-5	5	-5	4	-6	-3	0	-3	2	6	-3	4	0	0	4	9	9	8	0	0	7	-4	-12	0	-3	2	-3	0	0	6	8	4	0	3	3	-10	0	-8	4	0	-2	2	0	-4	2	4	-7	-5	0	0	3	2	5	5	0	2	2	-3	0	2	3	-7	4	6	5	0	5	5	5	0	-2	0	-4	3	5	-5	3	4	5	0	0	4	-4	0	2	-4	5	-4	4	3	0	-4	-4	4	0	7
NFKB	COMPLEX	3	-6	4	2	5	3	0	4	3	6	4	3	0	0	5	-10	-10	9	0	0	5	3	12	0	3	2	4	0	0	6	8	4	0	3	3	10	0	-8	-5	0	2	-3	0	-4	2	-5	7	-4	0	0	-4	2	-7	3	0	-4	2	-3	0	2	-5	6	4	-7	-6	0	3	3	5	0	4	0	4	3	5	-6	-4	4	5	0	0	-5	-4	0	-5	2	6	4	5	3	0	5	-5	-5	0	6
PTGS2	PROTEIN	-5	6	-6	5	-7	-3	0	-4	2	-7	-5	-5	0	0	-6	10	10	8	0	0	8	-5	12	0	-3	-4	-4	0	0	-7	-9	-6	0	2	2	10	0	-7	4	0	4	-3	0	-5	3	-5	7	-6	0	0	4	-4	-7	-6	0	4	-4	-5	0	-4	-4	-8	5	7	6	0	6	6	6	0	-4	0	-4	2	4	-6	4	5	6	0	0	4	-5	0	4	-5	-6	6	-5	4	0	-5	5	-5	0	8
IL1B	PROTEIN	-5	-7	-7	-5	-8	-4	0	-5	3	-7	-5	-5	0	0	-6	-11	-11	9	0	0	-8	-5	13	0	-4	-4	-5	0	0	-8	-10	-6	0	3	3	11	0	-8	5	0	-4	-4	0	-6	2	-6	8	-7	0	0	-3	3	-7	-6	0	-3	-4	-4	0	3	-5	-9	-5	-8	-7	0	-6	-6	-7	0	3	0	-4	3	5	-7	-5	-5	-7	0	0	5	-6	0	4	-5	-7	-6	-5	-4	0	-6	5	-5	0	-9
APP	PROTEIN	-5	6	-6	-5	-7	-5	0	5	-4	-6	3	-5	0	0	6	10	10	-10	0	0	7	4	13	0	-5	4	-3	0	0	-5	-7	-6	0	4	4	11	0	-9	-6	0	-5	-4	0	5	-3	-6	9	-5	0	0	4	-5	6	-6	0	-5	-5	4	0	-5	-4	-8	4	7	6	0	5	5	5	0	-5	0	-5	-4	6	-7	4	4	5	0	0	-6	5	0	-5	4	7	-7	-4	3	0	-4	4	-4	0	7
sAPPalpha	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM10	PROTEIN	7	-9	7	7	8	-7	0	3	6	-11	-9	5	0	0	-5	-13	-13	12	0	0	10	5	-13	0	-7	3	7	0	0	-10	-12	-9	0	-8	-8	-11	0	13	8	0	-7	6	0	7	-7	8	-8	-10	0	0	-7	-8	-11	-9	0	-7	6	-3	0	-8	7	9	-8	-10	-9	0	8	8	8	0	-7	0	-7	-8	-10	8	-7	7	8	0	0	8	7	0	8	-8	8	-9	8	-7	0	8	-8	-8	0	10
Abeta42	PROTEIN	-6	7	-7	6	-8	-4	0	-5	3	-8	-6	-6	0	0	-7	11	11	9	0	0	9	-6	13	0	-4	-5	-5	0	0	-8	-10	-7	0	3	3	11	0	-8	5	0	5	-4	0	-6	2	-6	8	-7	0	0	5	-5	-8	-7	0	5	-5	-6	0	-5	-5	-9	6	8	7	0	7	7	7	0	-5	0	-5	3	5	-7	5	6	7	0	0	5	-6	0	5	-6	-7	7	-6	5	0	-6	6	-6	0	9
BACE1	PROTEIN	-7	8	-8	7	-9	-5	0	-6	4	-9	-7	-7	0	0	-8	12	12	10	0	0	10	-7	14	0	-5	-6	-6	0	0	-9	-11	-8	0	4	4	12	0	-9	6	0	6	-5	0	-7	3	-7	9	-8	0	0	6	-6	-9	-8	0	6	-6	-7	0	-6	-6	-10	7	9	8	0	8	8	8	0	-6	0	-6	4	6	-8	6	7	8	0	0	6	-7	0	6	-7	-8	8	-7	6	0	-7	7	-7	0	10
PPARG	PROTEIN	-5	6	-6	-5	-7	-3	0	1	2	-6	4	-5	0	0	-5	-10	-10	8	0	0	-7	-5	12	0	-3	-4	-4	0	0	-6	-8	-6	0	-3	-3	10	0	8	3	0	-2	1	0	2	-2	3	7	-5	0	0	-3	-3	-6	-6	0	2	-4	4	0	-3	-4	-8	3	-7	-6	0	-5	-5	-5	0	-2	0	-4	-3	-5	3	4	-4	-5	0	0	3	2	0	4	-5	-5	-4	-4	2	0	-5	4	-4	0	-7
CCR5	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDX	SIMPLE_MOLECULE	4	-8	7	-7	8	-5	0	-3	-4	-8	-6	3	0	0	5	11	11	-10	0	0	5	-6	-14	0	-5	5	-6	0	0	-8	-10	-7	0	-4	4	-12	0	-9	-5	0	4	-3	0	-4	2	-5	7	-7	0	0	5	-4	7	-8	0	-4	4	-5	0	-4	5	9	4	8	7	0	3	3	7	0	4	0	5	4	1	-5	-6	4	7	0	0	-5	-4	0	5	-7	6	6	5	3	0	-7	-5	-5	0	6
IL6	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protectins	COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCTRs	COMPLEX	4	-8	7	-7	8	5	0	-3	-4	-8	-6	3	0	0	5	11	11	-10	0	0	5	-7	-14	0	5	5	-6	0	0	-8	-10	-8	0	4	4	-12	0	-9	-5	0	4	-3	0	-4	3	-5	7	-7	0	0	5	-4	7	-8	0	-4	4	-5	0	-4	-6	9	4	8	7	0	3	3	7	0	4	0	5	4	6	-5	-6	4	7	0	0	-5	-4	0	-6	-7	6	6	5	3	0	-7	5	-5	0	6
GPR37	PROTEIN	3	-7	6	-6	7	4	0	-2	-3	-7	-5	2	0	0	4	10	10	-9	0	0	4	-6	-13	0	4	4	-5	0	0	-7	-9	-7	0	3	3	-11	0	-8	-4	0	3	-2	0	-3	2	-4	6	-6	0	0	4	-3	6	-7	0	-3	3	-4	0	-3	-5	8	3	7	6	0	2	2	6	0	3	0	4	3	5	-4	-5	3	6	0	0	-4	-3	0	-5	-6	5	5	4	2	0	-6	4	-4	0	5
Protectin Receptors	COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
