Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m274	25.8638596077912	72.9830737630684	22.2661094423403	23.5102264568283	17.3902048656859	131.824811405428	76.4025385058477	24.724472653783	29.3541125541126	115.700492747851	55.6996932657794	27.440234211845	27.2762507670541	23.8146260807846	21.4085316305305	19.4260073260073	669.120591487432	2118.91058149113	1568.88316019157	122.178571428571	57.2442120651028	27.3341508732813	69.2836950665272	2854.42927350427	65.5096739056101	146.093298413315	109.780042051278	25.4044615012748	35.223558536383	271.095579617246	0	410.747488179437	38.6761797354826	87.5883688820509	0	116.22965627032	102.239778005546	60.1570038747256	750.988748003566	87.6621721344197	87.6621721344197
m1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m315	36.8576329331046	37.3794871794872	39.3011904761905	37.1289736735101	39.7208484290566	38.5824828542364	37.4360344095157	48.6171901198217	38.350654107797	33.40283742686	39.0897494924102	42.767715151289	41.4399937548454	50.508844609162	40.2662087912088	49.895840360971	38.1230582738064	36.2030107526882	46.0976937504397	77.936719072515	39.6617816091954	42.7872647627716	64.7103617510651	36.2051282051282	36.5060517629571	40.4845912541565	62.4772543216851	40.9396077133006	37.4435099017272	109.958433486137	0	39.0304111405836	39.9237770136384	36.6595168937345	0	49.0392656039157	45.2662706353213	54.9666289209858	102.901600593589	56.250440874475	56.250440874475
m316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m496	13.3740359906219	2.32319934707203	3.09436090225564	56	14.4205884027728	620.932996170551	2.53314040264786	10	17.491644893236	0.672919672919673	9.33333333333333	472.235294117647	445.086840637203	84.6017857944093	190.708504398827	135.4	2597.49466103466	3452.14841214186	1368.74224075667	511.350361946767	241.944068621986	47.8191542190495	25.4073726123265	3250.64420325389	159.689924279315	600.537992168759	399.266276492056	17.6985730820675	30.9412434008503	283.436627632534	0	6.93986928104575	7.81045751633987	43.5694955664573	0	63.4782608695652	431.604520633112	30.189558102716	1085.55579232605	414.079595959596	414.079595959596
m497	0.5	39.6512833693361	1.84285714285714	5.31666666666667	5.42511942149105	4.67381504281299	35.3040180247922	26.8037616563932	1.74529914529915	7.21794871794872	24.6667170929757	7.42412069619001	0.694189602446483	7.83890722280815	10.7011354142933	7.98888888888889	2120.14396933904	1831.08897515528	1396.47515029217	0.766129032258065	249.552509490124	1.97657342657343	0.743589743589744	10.3957236780749	1.61111111111111	20.7834479246244	0.8	2.21311793801375	1.84090909090909	282.488866739031	0	4.47132352941177	27.251806354414	644.968980117635	0	116.674432146866	437.378668765377	2.67647058823529	2341.74287681641	0.983882783882784	0.983882783882784
m610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
