Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m274	0.2	0.5	0.2	0.25	0.25	0.333333333333333	0.333333333333333	0.25	0.2	0.125	0.333333333333333	0.2	0.2	0.2	0.142857142857143	0.1	0.2	0.5	0.333333333333333	0.25	0.2	0.25	0.2	0.333333333333333	0.25	0.25	0.25	0.25	0.2	0.5	0	0.5	0.333333333333333	0.25	0	0.2	0.2	0.333333333333333	0.25	0.25	0.25
m1048	0.142857142857143	0.166666666666667	0.142857142857143	0.2	0.142857142857143	0.2	0.142857142857143	0.166666666666667	0.142857142857143	0.0909090909090909	0.142857142857143	0.125	0.125	0.125	0.1	0.0909090909090909	0.111111111111111	0.166666666666667	0.142857142857143	0.142857142857143	0.111111111111111	0.166666666666667	0.125	0.142857142857143	0.166666666666667	0.166666666666667	0.166666666666667	0.142857142857143	0.142857142857143	0.166666666666667	0	0.142857142857143	0.166666666666667	0.142857142857143	0	0.111111111111111	0.111111111111111	0.142857142857143	0.125	0.125	0.125
m1185	0.125	0.142857142857143	0.125	0.166666666666667	0.125	0.166666666666667	0.125	0.142857142857143	0.125	0.0833333333333333	0.125	0.111111111111111	0.111111111111111	0.111111111111111	0.0909090909090909	0.0833333333333333	0.1	0.142857142857143	0.125	0.125	0.1	0.142857142857143	0.111111111111111	0.125	0.142857142857143	0.142857142857143	0.142857142857143	0.125	0.125	0.142857142857143	0	0.125	0.142857142857143	0.125	0	0.1	0.1	0.125	0.111111111111111	0.111111111111111	0.111111111111111
m1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m315	0.166666666666667	0.25	0.2	0.2	0.2	0.2	0.2	0.25	0.166666666666667	0.0909090909090909	0.2	0.2	0.166666666666667	0.2	0.125	0.1	0.125	0.142857142857143	0.166666666666667	0.25	0.142857142857143	0.2	0.166666666666667	0.125	0.166666666666667	0.166666666666667	0.2	0.2	0.166666666666667	0.333333333333333	0	0.2	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.25	0.166666666666667	0.2	0.2
m316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m496	0.25	0.25	0.2	0.2	0.25	0.5	0.2	0.2	0.25	0.1	0.2	0.142857142857143	0.142857142857143	0.142857142857143	0.111111111111111	0.0833333333333333	0.25	0.5	0.5	0.333333333333333	0.25	0.333333333333333	0.2	0.25	0.333333333333333	0.333333333333333	0.333333333333333	0.25	0.25	0.25	0	0.25	0.25	0.25	0	0.142857142857143	0.25	0.333333333333333	0.25	0.166666666666667	0.166666666666667
m497	0.2	0.333333333333333	0.2	0.25	0.25	0.25	0.25	0.25	0.2	0.1	0.333333333333333	0.2	0.166666666666667	0.2	0.142857142857143	0.1	0.25	1	0.5	0.2	0.25	0.25	0.166666666666667	0.166666666666667	0.2	0.25	0.2	0.25	0.2	0.25	0	0.25	0.333333333333333	0.333333333333333	0	0.166666666666667	0.25	0.25	0.333333333333333	0.2	0.2
m610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
