Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
m16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0
m54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
m55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	4	0	0
m56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	4	0	5	0	0
m62	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	6	0	0	0	1	6	0	0
m27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	20	17	0	23	0	14	0	0
m25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
m24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	7	0	6	0	0
m23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	15	0	0
m70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0
m67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	5	0	2	0	0
m68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	0	1	0	0
m111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	0	1	0	0
m71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
m64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	1	0	0
m65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	1	0	0
m110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	1	0	0
m61	0	0	6	2	0	6	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	2	0	0	6	6	0	6	0	0	6	0	0	5	0	0	0	2	5	0	0
m15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	11	0	1	0	0
m35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
m58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	3	0	0
m59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	3	0	0
m34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
m32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0
m22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
m33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
m14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
m13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
m4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0
m29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
m20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	8	0	0	0	0	0	0	0	7	7	0	0	7	7	8	0	8	0	7	7	7
m21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
m19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	13	10	0	16	0	7	0	0
m28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
m18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0
m17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0
m50	0	0	5	5	0	1	0	0	0	0	0	0	0	0	0	4	3	2	5	0	0	0	0	0	0	5	0	1	0	0	0	7	0	4	0	2	3	2	4	0	0
m31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
m30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
m52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	2	0	3	0	0
m12	0	55	58	60	0	56	55	55	0	0	55	0	0	0	0	0	0	0	55	53	0	53	53	0	0	53	0	56	56	56	0	0	55	0	0	0	0	0	0	56	56
m11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
m10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	3	0	0	0	0	3	2	2
m79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	3	7	0	0	0	0	7	3	3
m9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	1	0	4	3	0	0	4	3	0	0	0	0	3	4	4
m2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	5	5	0	0	0	0	5	5	5
m40	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	4	4	0	1	0	0	0	0	0	5	5	0	5	0	0	5	0	0	4	0	1	0	1	3	0	0
m39	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	6	6	0	6	0	0	6	0	0	4	0	0	0	0	4	0	0
m8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
m38	0	2	8	3	0	5	2	2	0	0	2	0	0	0	0	5	5	0	4	0	0	0	0	0	5	8	0	5	3	3	5	0	3	5	0	1	0	1	5	3	3
