#Transcriptomic changes in joint tissues during the development of osteoarthritis (OA) are of interest for the discovery of biomarkers and mechanisms of disease. The objective of this study was to use the rat medial meniscus transection (MMT) model to discover stage and tissue-specific transcriptomic changes. Sham or MMT surgeries were performed in mature rats. Cartilage, menisci and synovium were scored for histopathological changes at 2, 4 and 6 weeks post-surgery and processed for RNA-sequencing. Differentially expressed genes (DEG) were used to identify pathways and mechanisms. Published transcriptomic datasets from animal models and human OA were used to confirm and extend present findings. The total number of DEGs was already high at 2 weeks (723 in meniscus), followed by cartilage (259) and synovium (42) and declined to varying degrees in meniscus and synovium but increased in cartilage at 6 weeks. The most upregulated genes included tenascins. The 'response to mechanical stimulus' and extracellular matrix-related pathways were enriched in both cartilage and meniscus. Pathways that were enriched in synovium at 4 weeks indicate processes related to synovial hyperplasia and fibrosis. Synovium also showed upregulation of IL-11 and several MMPs. The mechanical stimulus pathway included upregulation of the mechanoreceptors PIEZO1, PIEZO2 and TRPV4 and nerve growth factor. Analysis of data from prior RNA-sequencing studies of animal models and human OA support these findings. These results indicate several shared pathways that are affected during OA in cartilage and meniscus and support the role of mechanotransduction and other pathways in OA pathogenesis.
gene	cartilage 2-week	cartilage 2-week p-value	cartilage 4-week	cartilage 4-week p-value	cartilage 6-week	cartilage 6-week p-value	meniscus 2-week	meniscus 2-week p-value	meniscus 4-week	meniscus 4-week p-value	meniscus 6-week	meniscus 6-week p-value	synovium 2-week	synovium 2-week p-value	synovium 4-week	synovium 4-week p-value	synovium 6-week	synovium 6-week p-value
2900026A02Rik	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.638591736	0.04037152	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
AABR07027575.1	0.0	1.0	0.0	1.0	0.0	1.0	1.291199103	0.000220119	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
AABR07044049.1	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.19744828	0.01689988	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
AABR07044080.2	0.0	1.0	0.0	1.0	0.0	1.0	1.063349839	0.046218984	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
AABR07053470.1	1.324810578	0.028683551	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
AABR07053830.1	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-2.051939936	0.002028121	0.0	1.0	0.0	1.0	0.0	1.0
AABR07065049.1	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	20.98415105	1.28663e-08	0.0	1.0
AC113925.2	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.826292997	0.003735492	0.0	1.0	0.0	1.0	0.0	1.0
AC125248.1	3.588704809	4.31112e-06	3.004901155	3.17426e-05	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
AC134759.1	0.0	1.0	0.0	1.0	0.0	1.0	-1.649655688	0.015368114	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
AC135400.1	0.0	1.0	0.0	1.0	0.0	1.0	-0.681485828	0.023988591	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
