Symbol	Ballooning_1_vs_control	Ballooning_1_vs_control_pvalue	Ballooning_2_vs_control	Ballooning_2_vs_control_pvalue
RNA28SN3	2.28054812	0.00246	0.4523998	0.111
RNA18SN4	2.34090314	0.00246	0.5286771	0.0864
LOC112268284	1.88361113	0.00879	0.3064453	0.21
LPL	1.98840451	0.00957	1.662291	1.08e-05
RNA18SN5	2.13742195	0.00957	0.4331233	0.191
RNA18SN1	2.10280213	0.01179	0.4076473	0.237
LOC102723985	-0.95320169	0.01309	-0.7508801	0.0284
GSTA3	-2.08876236	0.0212	-0.5671218	0.474
RNA28SN1	1.62674883	0.02889	0.3318545	0.221
LOC105370921	-0.93233303	0.02905	-0.7073599	0.0388
SLCO5A1	2.4699321	0.02906	-3.0415031	2.51e-05
DNM1	-1.10483642	0.03213	-0.7537294	0.0394
RNA18SN3	1.8617713	0.03232	-0.8995397	0.0969
DIO3OS	-1.36105684	0.04909	-1.612737	0.000112
LOC105374520	-1.83134879	0.06762	-0.9585932	0.0753
MOXD1	1.02258699	0.12289	2.4916791	5.02e-09
RASL10B	-1.22566331	0.15309	-1.1191463	0.0079
INVS	-0.19279254	0.1769	-0.1611647	0.0178
SLCO1B3-SLCO1B7	-0.41541814	0.18751	-0.4936707	0.0126
LOC105377735	-0.42838852	0.18984	-0.532932	0.00147
LOC101409256	-0.49742588	0.18984	-0.4205597	0.0135
RNA28SN5	1.33055113	0.23658	-0.172175	0.743
LOC107986367	-0.40676312	0.27392	-0.306779	0.0356
SLCO1B3	-0.4071753	0.27392	-0.4874818	0.0151
RNA28SN4	1.19915011	0.27785	-0.1611561	0.733
LOC105372892	-0.86638015	0.33582	-1.1144461	0.000567
ITLN1	1.54429417	0.35849	-0.0682191	0.926
EVA1A-AS	-0.50041386	0.35849	-0.5359047	0.00732
THSD7A	-0.2372951	0.35849	-0.2516882	0.0392
IMPA1P1	-0.85223675	0.35849	-0.2842183	0.454
LINC02348	1.35936785	0.36364	1.2982061	0.00106
KCNAB2	0.62073602	0.38463	0.5098716	0.0031
LINC02769	-0.76888007	0.38463	-0.913388	0.00259
USF3	-0.14057791	0.38463	-0.1769826	0.00302
PURPL	1.16134347	0.38463	0.2318123	0.611
CDKN1A	0.60410616	0.38463	0.766786	0.000151
LOC105378012	-0.71073496	0.38463	-0.7952271	0.00219
EZR	0.23507724	0.38463	0.1976636	0.0395
LOC105375366	-0.52951371	0.38463	-0.5358047	0.0135
NOM1	-0.15606677	0.38463	-0.0941061	0.095
FABP4	1.25872173	0.38463	1.2481821	0.00085
PTPRD	-0.34793416	0.38463	-0.6092244	0.000118
ADAMTSL2	0.40857925	0.38463	0.5706853	0.000289
P4HA1	-1.07543256	0.38463	-0.9337457	0.0256
LOC105369571	0.72954039	0.38463	0.6231182	0.0256
MYBPC1	1.26809284	0.38463	0.1691714	0.627
NAA25	-0.13080996	0.38463	-0.0991693	0.0382
RNASE1	0.73537934	0.38463	0.7879688	0.00216
CCDC196	-0.34186161	0.38463	-0.4696929	0.000382
LOC107984699	-0.64525607	0.38463	-0.8160031	0.000435
SPESP1	1.55149746	0.38463		
CTXND1	-0.30926535	0.38463	-0.1948888	0.222
GLIS2	0.64448558	0.38463	0.768924	0.000613
KRT19	1.19251013	0.38463	0.3271641	0.53
LOC107985027	-0.4889977	0.38463	-0.1168221	0.668
PHOSPHO1	0.38777481	0.38463	0.1480863	0.312
LGALS4	0.98375327	0.38463	0.6520465	0.108
DOK5	1.31511048	0.38463	0.59678	0.304
IGLV1-40	0.97126494	0.38463	0.064498	0.918
RNA45SN4	1.01310681	0.38463	-0.0778945	0.872
RNA45SN5	1.13260185	0.38463	-0.1859968	0.702
RNA45SN1	1.02392534	0.43183	-0.146708	0.773
LOC112268095	-0.38886937	0.45521	-0.400264	0.00599
PPIEL	-0.35073405	0.45607	-0.3003846	0.0113
CLIC5	0.85155312	0.45607	0.3839499	0.261
MAGI3	-0.19018467	0.45628	-0.2653585	3.96e-05
B3GNT7	0.73542113	0.46062	0.2270878	0.308
LINC01277	-0.5294849	0.46062	-0.5475898	0.0125
FABP5	0.74135801	0.46062	1.1565492	1.63e-05
PRKCQ-AS1	0.56552677	0.46062	0.1248974	0.687
TMED8	-0.16787516	0.46062	-0.2028863	0.00298
ZCCHC2	-0.14739358	0.46062	0.0126589	0.898
RSBN1	-0.11882672	0.46355	-0.0891273	0.0562
BSPRY	0.44927206	0.46355	0.1051404	0.565
LOC107984485	-0.1889037	0.46355	-0.1773149	0.0208
B3GNT3	1.10942196	0.46355	0.960396	0.0506
RALGAPA1P1	-0.1274875	0.47235	-0.0700064	0.208
MDM4	-0.13047961	0.47525	-0.1246117	0.0261
LOC101927366	0.58978435	0.47525	0.976537	0.000701
HLA-DRB1	0.48578825	0.47525	0.4714061	0.0188
LOC105369736	-0.51710129	0.47525	-0.4874731	0.0276
ZNF182	-0.12914671	0.47525	-0.1245889	0.0424
WDR64	-0.45424817	0.48902	-0.4479374	0.0335
POLR1B	-0.16275629	0.48902	-0.0455721	0.572
LOC107986073	-0.33047072	0.48902	-0.09666	0.538
AKR1B10	1.63710644	0.48902	3.2941851	3.48e-07
PCDH20	-1.14021182	0.48902	-1.4118224	0.0047
TYRO3P	-0.2655336	0.52038	-0.4127662	0.00108
ARRDC4	0.47439163	0.52038	0.628852	0.000145
SYTL3	0.24349049	0.55552	0.265961	0.00314
LOC107985869	-0.72143158	0.56216	-0.708732	0.0433
LIMK1	0.30154183	0.56216	0.4928245	3.08e-05
BMP8A	-0.3547933	0.56494	-0.3650403	0.00375
LOC154761	0.43161249	0.56494	0.3043337	0.159
OAT	-0.57447808	0.56494	-0.6671181	0.00753
USPL1	-0.14102174	0.56494	-0.0704593	0.263
SPATA5L1	-0.13739491	0.56494	-0.0878109	0.267
MFSD14B	-0.13002802	0.56802	-0.0756259	0.247
HTR7	0.46958462	0.56802	0.9349147	2.06e-06
TIGD6	-0.15239934	0.60315	-0.0753706	0.251
UPK3B	0.771243	0.60315	-0.1117931	0.742
LAMC3	0.63532468	0.60315	1.126493	5.75e-05
POLG2	-0.18053797	0.60315	-0.1688174	0.0263
BCL2L12	0.25066881	0.60315	0.1256302	0.198
PTK6	0.53106511	0.60315	0.2994299	0.322
ALAS2	0.81353562	0.60315	-0.0271368	0.943
LOC105374914	-0.43108143	0.60948	-0.3966289	0.0807
RALGAPA1	-0.11962194	0.60948	-0.1211143	0.022
