Symbol	Fibrosis_1	Fibrosis_1_pvalue	Fibrosis_2	Fibrosis_2_pvalue	Fibrosis_3	Fibrosis_3_pvalue	Fibrosis_4	Fibrosis_4_pvalue
SLCO5A1	-5.27909891	2.36e-16	-4.5084979	0.0081	-3.82988211	0.000112	-5.0863858	0.0761
RNA28SN3	-4.08993694	3.75e-12	-4.050077	0.00586	-2.31200882	0.0123	-5.0866615	0.0426
RNA18SN4	-4.18800556	6.49e-12	-4.4313505	0.00386	-2.54374458	0.00719	-5.186879	0.0466
RNA18SN5	-3.94679363	1.19e-10	-4.3142241	0.00386	-2.31854448	0.0131	-5.0502585	0.0488
LOC112268284	-3.28057112	3.59e-10	-3.2048428	0.01895	-1.13003794	0.2	-3.8015473	0.0955
RNA18SN1	-3.87548171	4.07e-10	-4.3138079	0.00386	-2.30046232	0.0141	-5.0303918	0.0506
RNA28SN1	-3.12442895	4.09e-09	-3.2293129	0.01631	-1.66748168	0.0434	-4.4610219	0.0425
RNA18SN3	-3.56047561	5.94e-09	-4.1050887	0.0045	-2.09927661	0.0208	-4.7580282	0.0564
RNA28SN5	-2.64436622	5.7e-08	-2.7503014	0.02743	-0.66176314	0.432	-3.6867568	0.0646
RNA28SN4	-2.37892868	3.1e-07	-2.3374817	0.05313	-0.57813944	0.47	-3.1003837	0.105
SOCS4	0.31217828	6.72e-07	0.2974573	0.03887	0.40266656	1.2e-06	0.6440749	5.59e-05
ZBTB33	0.49536471	6.72e-07	0.3797479	0.15522	0.44806384	0.000237	0.7302992	0.0199
RNA45SN5	-2.32111233	2.53e-06	-2.7184751	0.02216	-0.85697531	0.272	-3.7223244	0.0525
ZFP69B	0.51173762	4.65e-06	0.3556639	0.12644	0.47906402	0.00212	0.5439065	0.0591
RNA45SN4	-2.015924	6.74e-06	-2.1996582	0.04932	-0.46710821	0.542	-3.0515925	0.0831
RNA45SN1	-2.09251188	2.07e-05	-2.5419732	0.02743	-0.71867073	0.346	-3.5139696	0.0566
RNA28SN2	-1.73197847	4.71e-05	-1.5938538	0.1343	-0.06784562	0.934	-2.0927957	0.206
DIO3OS	-1.64685826	4.79e-05	-0.2405106	0.90139	-1.2359146	0.00824	-1.9107836	0.159
POMT1	-0.16981655	8.11e-05	-0.1246048	0.26945	-0.24097264	0.000111	-0.4270782	0.000488
CD58	0.33312987	0.000218	0.2545042	0.21394	0.54668145	6.23e-05	0.5953374	0.00817
SIRT3	-0.19471916	0.000218	-0.1351142	0.26155	-0.20819689	0.00493	-0.3924679	0.00809
SEC23A	0.27841925	0.000218	0.1005501	0.63831	0.16582414	0.11	0.3633422	0.0977
GALNT1	0.20041372	0.000227	0.1956413	0.10242	0.29937976	0.00018	0.5600424	3.79e-05
ASCC3	0.27748753	0.000255	0.298602	0.06258	0.37493242	8.57e-05	0.6788633	0.00188
TMTC3	0.23709772	0.000255	0.1138065	0.4604	0.15170239	0.0515	0.1736335	0.378
CHST9	0.99722837	0.000255	0.5579627	0.39757	1.25691228	1.24e-05	1.5956468	0.027
TMEM165	0.30179554	0.000304	0.2800675	0.12061	0.454831	0.000421	0.831381	1.36e-05
PUM3	0.22880061	0.000304	0.1862238	0.1261	0.02123805	0.856	0.4106008	0.00469
TP53INP1	0.45095949	0.000382	-0.0198843	0.97911	0.22532303	0.196	-0.0658357	0.912
MDFIC	0.37522206	0.000415	0.2132443	0.47657	0.3858279	0.0165	0.7182897	0.022
P4HA1	-1.19464387	0.000419	-0.1565651	0.86593	0.19675543	0.574	0.1776377	0.87
PMM1	-0.42257418	0.000449	-0.1809997	0.68909	-0.08048156	0.627	-0.5236645	0.166
DHRS9	0.78955243	0.000516	0.6982828	0.17157	0.85164184	0.000173	0.8559205	0.258
ENO4	0.26929236	0.000689	0.1827148	0.25783	0.20575012	0.0403	0.2148848	0.358
LACC1	0.47043448	0.00078	0.3705852	0.30296	0.42569901	0.00281	0.7249162	0.0517
LOC105372485	-0.35914567	0.000783	-0.3429215	0.12061	-0.62217235	0.000276	-0.9515336	3.08e-05
ACBD3	0.23173082	0.000816	0.0712112	0.75199	0.11886478	0.13	0.4278013	0.0112
RNA45SN3	-1.62875631	0.000816	-2.1507325	0.0424	-0.52240329	0.471	-3.2653364	0.0456
SLC20A1	0.37985941	0.000822	0.1344836	0.62597	0.30592358	0.023	0.1768964	0.567
SUN2	-0.33222503	0.00092	-0.2126106	0.32853	-0.55519804	7.87e-07	-0.7608188	0.000244
SLC12A1	1.39065724	0.00117	0.7851037	0.46514	-0.02736316	0.977	0.7507726	0.603
ST6GALNAC6	-0.39523025	0.00118	-0.0758498	0.86189	-0.01167661	0.943	-0.1634875	0.637
BCAT1	0.83519986	0.00118	1.1913773	0.03152	1.31893921	8.57e-05	1.3928823	0.0472
SRPK1	0.21631492	0.00121	0.1882955	0.1202	0.21385748	0.00289	0.4088996	0.00145
OLR1	1.26895664	0.00121	1.2669494	0.11358	2.63041767	5.56e-08	2.0564933	0.0405
COMMD8	0.39464744	0.00126	0.3127377	0.27324	0.63799649	0.000386	0.6795915	0.0532
MAD2L1	0.56356029	0.00156	0.8138466	0.00891	0.83091324	3.7e-05	1.4856179	0.000116
CAPRIN1	0.15971794	0.00156	0.1168843	0.35456	0.15953604	0.0157	0.3761747	0.00703
SULT1A2	-0.53205634	0.00156	-0.2171436	0.69862	-0.23403966	0.353	-0.6133382	0.231
ARHGAP11A	0.58734024	0.00166	0.6381828	0.0814	0.73690881	0.000362	0.8906664	0.0108
MTHFD1L	0.39253481	0.00175	0.4466168	0.11358	0.56147599	0.00241	0.9396761	0.00159
RAP2A	0.33025037	0.00179	0.1967487	0.46292	0.27085681	0.0297	0.7380848	0.00468
SLC27A5	-0.37960301	0.00183	-0.3461813	0.14774	-0.56213912	0.00111	-1.0147656	3.68e-05
LINC02160	-1.39861196	0.00186	-0.4246954	0.7672	-1.39629792	0.0189	-2.5785358	0.0486
MMP9	1.33224692	0.00189	1.3529649	0.06822	0.95726247	0.0101	0.5127228	0.69
FAT1	0.78814783	0.0019	0.6995847	0.20122	0.92342793	0.000537	1.2406031	0.0841
