Symbol	Inflammation_1_v_Control	Inflammation_1_v_Control_pvalue	Inflammation_2_v_Control	Inflammation_2_v_Control_pvalue
MUC5B	-3.34732296	2.76e-08	-0.37198325	0.737
MYO16	-0.73531263	3.42e-05	-0.96421476	0.00218
LINC02987	-1.38215386	5.24e-05	-1.46548918	0.00486
TMC5	-2.14396896	0.00039		
NUDT16-DT	-0.65936503	0.000935	-0.83364339	6.58e-06
CASR	-2.21011975	0.000964	-1.53642872	0.136
LOC105378477	3.45261383	0.000964	3.48668122	0.00141
DDX5	0.24146571	0.000964	0.36671921	0.000486
ZFP1	-0.56860275	0.00122	-0.88080544	0.000154
TTL	0.42112271	0.00198	0.59842633	0.000353
IL32	1.3186459	0.00198	1.62888779	0.000288
SH3PXD2A	-0.94058506	0.00276	-0.91576542	0.0211
CA12	3.6124187	0.00276	3.09929513	0.0184
LOC107986495	-0.77710475	0.00312	-0.82975543	0.0196
ZNF324	-0.74348644	0.00388	-0.75664078	0.0189
LOC105378476	3.71210127	0.00391		
AMY2A	-0.52389793	0.00394	-0.65924064	0.0289
LOC105374145	-0.74739101	0.00394	-0.78066721	0.00204
FAM131B-AS2	1.00379515	0.00394	1.23833804	0.0014
SEPTIN6	0.41699625	0.00394	0.46749168	0.0112
SORCS1	-2.35108911	0.00413		
ATP10B	-2.13831417	0.00413	-0.07133276	0.951
AMY1C	-0.53980624	0.00427	-0.64034361	0.0478
ZC3H6	-0.35761538	0.00427	-0.55314703	0.000582
SLC38A11	-0.57379829	0.00427	-0.7211493	0.0191
KANSL1L	-0.2901149	0.00427	-0.40702764	0.00912
LOC105373903	-0.84516565	0.00427	-1.1238569	0.00344
RIOX2	0.27914712	0.00427	0.40861533	0.000597
LOC100289230	-0.35872442	0.00427	-0.45233498	0.00568
BCKDHB	-0.36983483	0.00427	-0.51660453	0.0379
LOC112268070	-0.78137111	0.00427	-0.90857894	0.0141
CNN1	-2.44530695	0.00427		
LOC105369725	-0.6776319	0.0045	-0.83890453	0.0176
LOC105377449	-0.42749768	0.00456	-0.67457356	2.74e-05
REPS1	-0.41202206	0.00456	-0.61269196	0.00501
LOC107985041	-1.09474824	0.00494	-1.32318478	0.00328
AMY2B	-0.45976954	0.00584	-0.57178879	0.0478
RNPC3	-0.32084689	0.007	-0.42816572	0.0379
CNPY3-GNMT	-1.11211951	0.007	-1.18841274	0.0349
LOC112267965	-0.52593292	0.007	-0.73048803	0.00727
GPM6B	-0.46281464	0.007	-0.52084414	0.0188
LOC101929819	-0.88729043	0.007	-0.8881124	0.029
LOC105377771	-0.55867554	0.00744	-0.7277515	0.00907
GNMT	-1.1755828	0.00766	-1.26877309	0.0793
RBM33	-0.30154986	0.00818	-0.4642021	0.000307
LINC02769	-1.20015618	0.00844	-1.49883419	0.00366
LOC100288069	-0.5395824	0.00849	-0.62009115	0.0248
LYPD6B	-1.63714444	0.00849	-0.36526826	0.732
B9D1	-0.64630101	0.00849	-0.86491438	0.00258
KPNA2	0.84381832	0.00862	1.28512192	0.000288
LOC101928344	-0.75765423	0.00881	-0.77559751	0.0208
LOC105377676	-1.1004589	0.00904		
CASP7	0.34764682	0.00904	0.32635805	0.068
LOC100506974	-0.63873827	0.00904	-0.96685979	0.0106
RNF125	-0.43963877	0.00904	-0.63437586	0.00758
COL5A3	1.33131052	0.00904	1.15379704	0.0543
WDR33	-0.23272418	0.00911	-0.36661907	0.000363
AASS	-0.80835039	0.00911	-1.00852242	0.0158
TRPM3	-0.66365309	0.00911	-1.01255109	0.000486
LSP1	0.63871931	0.00911	0.86305544	0.00732
LOC105376781	-0.78099342	0.00911	-0.82657657	0.0232
NMT2	-0.23815711	0.00922	-0.21261576	0.176
LRRTM3	-1.05066695	0.00922	-1.56334661	0.0106
MICALCL	-0.69867969	0.00922	-0.89896905	0.00507
GABRE	1.01670448	0.00922	1.34432671	0.000771
LOC112268012	-0.81109529	0.00948	-0.80378076	0.00717
ETV6	0.28845186	0.00948	0.31241976	0.0762
TTC9	1.30808434	0.00969	1.6500302	0.000438
LOC100996442	-0.47185874	0.0102	-0.51496924	0.0352
PIGV	-0.28318905	0.0102	-0.33438878	0.0517
TTLL7	-0.73280118	0.0102	-0.84637012	0.00757
ERMARD	-0.20537634	0.0102	-0.25058671	0.0159
LINC03006	-0.32935307	0.0102	-0.55054053	0.00349
RNF152	-0.83877285	0.0102	-0.91832658	0.00451
ACTR1A	0.2973544	0.0104	0.38747545	0.0184
MAGI2-AS3	-0.46061747	0.0104	-0.6199527	0.00135
LINC01409	-0.35950992	0.0105	-0.45363654	0.00929
LPAL2	-0.4921657	0.0105	-0.47978823	0.176
LOC105375434	-0.55047051	0.0105	-0.85771247	0.00644
LINC00562	-0.62466463	0.0105	-0.57121056	0.0666
LINC02887	-0.58459906	0.0105	-0.76431602	0.0188
ZNF446	-0.76671149	0.0105	-0.9453182	0.00915
LOC112268251	-0.99092477	0.0105	-0.96574846	0.0385
AMY1A	-0.47152433	0.0106	-0.52452868	0.0899
NAPEPLD	-0.41003255	0.0107	-0.42885288	0.0573
LINC01705	-1.08333528	0.0108		
LOC105373582	-0.32459883	0.0108	-0.61795915	0.00328
