Symbol	NAS 1	NAFLD_Stage_1_pvalue	NAS 2	NAFLD_Stage_2_pvalue	NAS 3	NAFLD_Stage_3_pvalue	NAS 4	NAFLD_Stage_4_pvalue	NAS 5	NAFLD_Stage_5_pvalue	NAS 6	NAFLD_Stage_6_pvalue
ZNF324	-1.1557763	1.02e-11	-1.1163547	2.39e-07	-1.1708236	8.68e-07	-1.21864217	0.000249	-1.4489734	4.25e-15	-1.6325066	1.02e-18
ATF5	0.9996829	6.14e-10	0.4163254	0.415	0.7365502	0.0137	0.87873259	0.000135	0.7343982	0.00435	0.8367347	0.145
NUP62	0.8611574	9.36e-10	0.4409798	0.145	0.6282183	0.0293	0.69584659	0.0108	0.6805355	0.000573	0.9666811	0.0056
IL4I1	0.9935543	3.16e-08	0.3999806	0.388	0.6202267	0.0321	0.74467004	0.0253	0.6596406	0.00593	0.6417373	0.174
MYO18A	-0.3381694	1.48e-07	-0.1830228	0.377	-0.1927336	0.411	-0.41674105	0.00447	-0.6466965	0.0105	-0.6164832	0.0254
ZFP1	-0.7308556	1.4e-06	-0.7323872	0.00368	-0.727178	0.00197	-0.94655565	9.2e-05	-0.9663195	4.25e-15	-1.3026686	1.99e-10
MIR4751	0.9540677	1.4e-06	0.3892353	0.483	0.8492663	0.00739	0.9539583	0.00219	0.8270647	0.00512	0.8508681	0.128
F11R	0.3578738	1.22e-05	0.2093818	0.0974	0.2266564	0.221	0.18408798	0.262	0.1361924	0.539	0.0433791	0.886
P4HB	0.4813477	1.4e-05	0.4074243	0.0918	0.4692115	0.0104	0.44242611	0.00762	0.4550042	0.000114	0.4200514	0.0149
LOC105375434	-0.8525432	1.9e-05	-0.6555446	0.0125	-0.8444488	6.59e-06	-0.96824036	1.46e-06	-1.2203405	4.25e-15	-1.5546577	7.58e-07
RET	2.8120385	2.73e-05	3.0279123	0.0176	2.7087474	0.00191	2.66125371	4.88e-05	2.714844	1.16e-07	2.9261272	0.00993
LRIG3-DT	-0.9250319	3.71e-05	-0.8577773	0.0386	-1.1002575	0.00833	-1.3483703	7.82e-05	-1.3435822	0.000299	-1.7221718	1.14e-08
FAM118A	-1.8758436	3.87e-05	-0.8766014	0.414	-1.7540797	2.17e-05	-0.93955694	0.3	-1.0335613	0.0751	-1.4501003	0.0277
ZNF446	-1.2731455	4.06e-05	-1.1384722	1.27e-11	-1.2473706	6.42e-05	-1.42348973	0.000201	-1.6414704	5.4e-16	-1.735431	4.48e-19
HIF1A	0.4128855	0.000179	0.2897009	0.0813	0.3261537	0.283	0.35363595	0.0442	0.477144	0.000823	0.7516918	0.033
LOC112268251	-1.4072493	0.000179	-1.3828061	0.00219	-1.3585101	0.000187	-1.57416769	0.0015	-1.9639208	4.06e-10	-2.1521309	1.13e-08
SH2D6	-2.0317736	0.000199	-1.5489097	0.026	-1.6771399	0.00128	-1.63753895	0.00818	-1.894446	1.2e-05	-1.8574928	0.000551
HTRA1	0.6395847	0.000211	0.6088427	0.022	0.7954623	0.00157	0.78168257	0.00182	0.9691741	4.25e-15	1.0098979	6.3e-08
MIR99AHG	-0.3899851	0.000247	-0.3242514	0.169	-0.3116766	0.0072	-0.25970704	0.253	-0.433717	0.0137	-0.6433369	0.00667
SLC35C1	1.4450217	0.000321	1.1765177	0.142	0.9651206	0.00842	1.35853579	0.00283	0.9051749	0.00706	1.659268	0.00115
TMEM45B	1.8786297	0.000412	1.6534578	0.00817	1.4514997	0.0337	1.68534873	0.000587	1.7199586	4.99e-08	1.8602916	0.0021
TUT7	-0.732667	0.00055	-0.5164355	0.0627	-0.6343227	0.0093	-0.8067019	0.000342	-0.9036541	1.13e-08	-0.9434255	1.07e-10
CRP	2.0958584	0.00101	2.3887224	0.056	2.6168346	0.00428	2.06307659	0.00279	2.3905904	0.000664	2.8410696	1.43e-05
CDC6	2.0156021	0.00101	1.1630519	0.0802	1.7476581	0.0137	1.94994869	0.000342	2.6365138	5.87e-07	2.836605	8.19e-05
TGM2	0.7508667	0.00102	0.4864788	0.233	0.5024727	0.0723	0.76593227	0.0427	0.5146059	0.0554	0.8211541	0.0145
TXLNA	0.4543975	0.00114	0.3336716	0.00557	0.4327576	0.000264	0.54712861	0.00204	0.4227797	0.0101	0.5336791	0.00433
GPX2	0.9758796	0.00141	1.1750348	0.14	1.1966388	0.108	0.9963245	0.0556	1.6155898	0.0451	1.8847502	2e-05
SLC38A4-AS1	-1.0316647	0.00164	-1.036005	0.00712	-1.063822	0.00244	-1.04245898	0.000607	-1.1675076	3.72e-09	-1.1340317	0.00187
KPNA2	1.0854297	0.00164	1.0461255	0.000586	1.2028162	0.0007	1.53555527	4.14e-05	1.7685314	5.83e-10	2.1185141	2.62e-10
NEB	1.5999055	0.00184	1.0851175	0.089	0.6792383	0.279	1.46658393	0.0773	0.7123837	0.115	1.5857706	0.00039
RUNDC3B	-0.5622009	0.002	-0.6652792	3.18e-05	-0.6450789	0.0271	-0.75131907	0.000161	-0.7596256	5.92e-13	-0.9206992	0.0123
CYP1A2	-1.2265245	0.00203	-1.3613791	0.00176	-1.0006448	0.085	-1.38954203	0.0122	-1.523407	0.0011	-1.5825884	0.212
SMG5	0.6877164	0.00239	0.7798983	1.3e-06	0.7264214	0.00688	0.62096564	0.022	0.7118083	0.00494	0.6541168	0.0145
EHD4	0.9166792	0.00239	0.6922881	0.0133	0.9047081	0.0015	1.08826581	3.81e-05	1.1266982	2.51e-10	1.4234448	4.18e-07
EMC10	0.3795764	0.00242	0.3785007	0.0176	0.3242736	0.0227	0.36676342	0.0987	0.373965	0.0117	0.400311	0.00259
MID1IP1	0.7205825	0.00259	0.7554541	0.0649	0.6901944	0.00123	0.84408418	0.00104	0.7972028	0.000286	0.7702451	0.00026
CALR	0.7874465	0.00272	0.6197187	0.00256	0.7853858	0.00603	0.82119085	0.00129	0.8699383	1.21e-11	0.7738492	0.000107
TTBK1	0.888656	0.00363	0.4651666	0.137	0.5712179	0.181	0.64858183	0.0751	0.4103244	0.127	0.1987552	0.715
PIP4K2A	0.4309848	0.00363	0.5296231	0.000119	0.4410972	0.00968	0.45142173	0.00681	0.661272	5.36e-11	0.6774818	0.00416
LOC112267965	-0.5820599	0.00382	-0.8207381	0.000744	-0.7165454	0.00302	-0.87159839	0.000551	-0.8509636	2.15e-05	-1.2784705	3.19e-07
GALNT2	0.5371253	0.00472	0.3733254	0.141	0.4361971	0.0276	0.49613248	0.105	0.5755082	0.0166	0.5214709	0.0314
CCNG1	-0.4640831	0.00527	-0.5591628	0.00014	-0.5411916	0.00684	-0.67283446	0.00424	-0.626232	7.81e-11	-0.5863875	0.0245
C1QTNF1	0.6752835	0.00596	0.6461912	0.00377	0.6885743	0.00261	0.7944691	0.00166	0.8119898	2.87e-05	0.937256	0.0219
GSTA3	-3.5283144	0.00609	-1.8211839	0.409	-2.6638354	0.092	-4.22214251	4.48e-11	-2.5281684	0.0393	-1.6039627	0.433
NSUN7	-0.4168948	0.0063	-0.1832773	0.452	-0.3064282	0.0276	-0.26937754	0.2	-0.2106498	0.0863	-0.1035109	0.56
FAM78B-AS1	-0.8169101	0.0065	-0.5586567	0.103	-0.5384926	0.0627	-0.815063	0.000465	-0.7856059	0.00461	-0.74488	0.0448
PREX1	0.3864084	0.0065	0.4788534	0.0416	0.4676762	0.0276	0.47654459	0.0427	0.5609327	2.62e-06	0.7185219	0.04
KLF12	-0.4852734	0.00694	-0.3869606	9.03e-05	-0.4270389	0.0227	-0.56658795	0.000472	-0.5503762	4.23e-05	-0.6759254	0.00259
SPTBN5	2.2629849	0.00694	2.3814213	0.00016	2.3211073	0.00357	2.17480863	0.00179	2.2762209	5.67e-06	2.5725606	0.00392
RNA18SN5	-1.5651274	0.007	-1.3576028	0.00894	-1.3170745	0.0337	-0.98143213	0.176	-0.1880633	0.889	-0.5764426	0.553
NBPF1	0.4625988	0.00717	0.579348	0.000901	0.5549996	0.00625	0.54464566	0.0194	0.451638	0.042	0.5496833	0.0973
LINC02666	-0.5825916	0.00717	-0.6027282	0.0488	-0.3049371	0.43	-0.45470248	0.323	-0.5477023	0.106	-0.9391449	0.0436
LOC101929200	-0.6156371	0.00754	-0.3369506	0.207	-0.4629419	0.028	-0.48641839	0.0485	-0.6293366	0.00133	-0.5684364	0.148
AASS	-0.8836473	0.00754	-1.1915254	5.13e-06	-1.0765002	0.00116	-1.53149321	1.16e-07	-1.5046623	8.62e-07	-1.8607164	8.61e-06
PREB	0.5745102	0.00809	0.3982466	0.00045	0.4985952	0.00131	0.61406099	0.00686	0.6964603	0.0027	0.5167251	0.0112
PTPA	0.4686363	0.00809	0.6238215	5.24e-05	0.7367626	1.9e-05	0.72567032	0.00158	0.6900692	1.31e-06	0.6501746	0.000521
LOC105370449	-1.2122971	0.00809	-0.8515199	0.0409	-0.8921347	0.00222	-0.91786102	0.00135	-0.2110328	0.798	-0.7088819	0.392
TLCD2	1.1160883	0.00809	0.7049268	0.103	0.8575608	0.00608	0.65491676	0.0116	0.7035245	0.0261	0.6900889	0.0846
AKR1C6P	-0.5794079	0.00838	-0.3525679	0.34	-0.3028375	0.326	-0.34745472	0.102	-0.1957897	0.403	-0.291671	0.37
SH3PXD2A	-1.4027967	0.0087	-1.5731289	4.6e-07	-1.3220382	0.000902	-1.69591851	1.11e-08	-1.7187973	9.96e-12	-1.6414365	3.55e-06
VWA1	0.6901749	0.00934	0.4146577	0.164	0.5453161	0.022	0.70538471	0.0336	0.6058014	0.0171	0.8331755	0.0248
PHLPP1	-0.5147855	0.00934	-0.4340697	0.0024	-0.4510929	0.0276	-0.58444906	0.0014	-0.7137116	2.21e-08	-0.7624494	0.000471
RNA18SN1	-1.518479	0.0103	-1.3354556	0.011	-1.1956294	0.105	-0.91576018	0.216	-0.1374378	0.92	-0.5355578	0.585
SLCO5A1	-2.3338486	0.0103	0.6704595	0.757	0.2827133		-0.74992929		-0.6383687		-1.3495316	0.0517
NFATC3	-0.3556016	0.0103	-0.4416273	2.39e-07	-0.4440364	1.86e-07	-0.50963988	4.07e-05	-0.5019414	7.34e-13	-0.4507824	0.000414
SCARNA13	-0.5620317	0.0103	-0.4208883	0.0198	-0.3540483	0.158	-0.27279889	0.273	-0.2430166	0.584	-0.2261399	0.587
B9D1	-0.584488	0.0103	-0.7654649	1.41e-10	-0.8096398	0.00116	-1.24028655	6.72e-08	-1.2595117	1.42e-07	-1.4788065	1.25e-08
RASEF	1.5116813	0.0115	1.071302	0.111	1.7769802	0.00979	1.99672239	0.000973	2.2684682	4.46e-05	2.4661028	0.000137
LOC107984889	1.9455262	0.0117	1.1761801	0.476	1.1086428	0.434	1.24725049	0.253	0.8547504	0.509	1.3351889	0.188
LOC105373903	-0.8428582	0.012	-1.0998221	0.00191	-1.0574345	0.00487	-1.37072276	6.03e-06	-1.4451819	5.16e-06	-1.5813332	0.00492
TMEM161B	-0.3868538	0.012	-0.4407149	0.00621	-0.3160032	0.0135	-0.37407384	0.0348	-0.4030892	0.00384	-0.5762415	0.00014
WWC1	1.0160894	0.012	0.6934403	0.0038	0.7020594	0.0093	0.86249709	6.85e-05	0.7688212	2.08e-05	1.0277028	0.000309
MAGI2-AS3	-0.4070644	0.012	-0.6142034	0.00225	-0.6813413	0.0162	-0.76641563	0.00269	-0.8105299	1.89e-07	-0.7763113	1.29e-05
SERPINE1	2.0317056	0.012	2.0959996	0.0865	2.1648662	5.51e-05	2.87528653	3.2e-05	2.649764	1.68e-06	3.0936432	3.1e-06
LOC105378468	-0.8130725	0.012	-0.9368152	0.0115	-1.1942015	0.0192	-1.11841125	0.012	-0.7612518	0.00278	-0.8334898	0.46
SPRING1	0.5330373	0.012	0.5145355	0.00282	0.5037039	0.0753	0.71448465	0.00191	0.7422693	7.62e-07	1.1130665	0.00252
HIP1R	0.423303	0.012	0.4428255	0.0479	0.3546653	0.11	0.46286371	0.0308	0.2745528	0.137	0.4493662	0.0227
SNHG10	-0.5250878	0.012	-0.3972989	0.0153	-0.3428816	0.144	-0.26780525	0.257	-0.2396612	0.577	-0.2281983	0.567
NR3C2	-0.3876221	0.0121	-0.3261543	0.0421	-0.2514148	0.357	-0.33844292	0.101	-0.4332626	0.0127	-0.7160458	0.0351
RASL10B	-2.3063948	0.0121	-1.8719276	0.0214	-1.7584636	0.0658	-2.57706129	0.000596	-3.0083647	9.81e-08	-2.3729739	0.00823
RNA18SN4	-1.5308664	0.0121	-1.3422175	0.0169	-1.4929962	0.000406	-1.00149903	0.184	-0.197328	0.878	-0.6229754	0.51
SIRPA	0.6404446	0.0127	0.5881377	0.041	0.7109053	0.00979	0.8671787	0.000659	0.840027	0.000659	1.2810782	6.45e-06
ADGRG5	1.4620088	0.0137	1.154327	0.284	1.1313119	0.309	1.24098647	0.115	0.7616986	0.284	1.2243844	0.117
RNA18SN3	-1.4156076	0.014	-1.2949353	0.00924	-1.0688996	0.189	-0.84708116	0.172	-0.1400988	0.918	-0.517761	0.583
STAT3	0.8541543	0.0143	0.3090667	0.0185	0.5979946	0.00446	0.56679744	0.00487	0.5018074	0.000579	0.5285931	0.0284
GNMT	-1.2240227	0.0145	-1.4542014	0.0213	-1.3871891	0.031	-2.00833346	7.34e-06	-1.8130191	0.000137	-2.0473999	0.0147
