Symbol	Steatosis_1_vs_control	Steatosis_1_vs_control_pvalue	Steatosis_2_vs_control	Steatosis_2_vs_control_pvalue	Steatosis_3_vs_control	Steatosis_3_vs_control_pvalue
TSC22D1	0.5978942	3.56e-08	0.51235359	0.00188	0.70562703	0.00012
MAPK13	-0.7641412	1.37e-05	-0.76912473	3.04e-05	-0.39255666	0.273
P4HA1	-1.7673167	1.37e-05	-1.5861025	0.001	-2.19156569	2.95e-06
TNRC6C	-0.482896	3.22e-05	-0.57231936	1.62e-05	-0.61109886	0.000472
ZDHHC19	-1.6614484	4.92e-05	-1.45194833		-1.51012077	0.00675
TARBP1	0.3993769	6.34e-05	0.34352629	0.00315	0.3072551	0.0817
PRKCE	1.4878751	6.38e-05	1.09586686	0.0185	1.45069235	0.00017
LINC02769	-1.3671983	7.23e-05	-1.4350903	0.00271	-1.41319882	0.0128
ME1	1.3932254	7.23e-05	1.83100689	4.35e-10	2.16315339	1.85e-07
NUDT13	-0.526029	7.23e-05	-0.4677232	0.0133	-0.70961784	3.61e-06
TRAM2-AS1	-0.4640552	8.78e-05	-0.37966767	0.0114	-0.3917708	0.0418
LOC100506124	-0.5633929	9.42e-05	-0.47842908	0.0382	-0.66347923	0.0002
NFATC3	-0.3288135	9.42e-05	-0.30573069	0.000967	-0.2944414	0.00812
DIO3OS	-2.0433636	9.45e-05	-1.65885572	0.0373	-2.32556607	0.000237
ACKR3	1.7412537	0.000103	1.56231362	0.000485	1.83410867	9.16e-05
GPR89B	-0.3219415	0.000173	-0.37951975	5.7e-05	-0.35387635	0.00012
APOF	-0.7834985	0.000183	-0.7702333	0.0064	-0.94770343	0.00315
ZNF446	-0.9408004	0.000183	-1.00825838	0.000943	-1.15101477	0.000125
AASS	-0.9872318	0.000189	-0.97796241	0.00335	-1.24868816	2.25e-05
MRAS	0.9632932	0.00023	0.98160318	0.000244	1.1278257	4.74e-05
NDUFAF5	0.4490539	0.00024	0.38939333	0.00335	0.47125747	0.0028
