Molecule	Type	actin cytoskeleton reorganization	actin filament debranching	actin filament polymerization	adhesion strenghtening and intraluminal crawling	ameboidal-type cell migration	angiogenesis	anti-inflammatory molecule gene expression	apoptotic cell clearance	apoptotic process	capture rolling	cell adhesion	cell motility	cytokine production involved in inflammatory response	degradation of membrane-associated molecules	destruction of pathogens	digestion of microbes/particles/...	endosomal vesicle fusion	endothelial cell proliferation	endothelial migration	epithelial cell proliferation involved in lung morphogenesis	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast efferocytosis	fibroblast migration	firm adhesion	focal adhesion	formation of intraluminal vesicles	fusion with late endosomes	gluconeogenese	glycogen synthesis	glycolysis	hypothermia	keratinocyte migration	keratinocyte proliferation	ketogenic acid synthesis	leukocyte migration	leukotriene synthesis	lipoxin synthesis	lymphocyte chemotaxis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage clearance	macrophage derived foam cell differentiation	macrophage differentiation	maresin synthesis	membrane hyperpolarization	microtubule cytoskeleton organization	microtubule-based movement	monocyte chemotaxis	monocyte extravasation	myeloid dendritic cell differentiation	myosin ii filament organization	natural killer cell chemotaxis	neurotrophy	neutrophil apoptotic process	neutrophil chemotaxis	neutrophil extravasation	nf-κb response	p38mapk cascade	pamp recognition	phagocytic cup	phagocytosis, engulfment	phagosome maturation	phagosome sealing	phagosome-lysosome fusion	platelet activation	platelet aggregation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of cellular response to insulin stimulus	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	recognition of a target particle	regulation of actin cytoskeleton reorganization	regulation of acute inflammatory response	resolution of airway inflammation	resolution of edema	resolvin synthesis	response to endoplasmic reticulum stress	sensory perception of pain	site of dna damage	slow rolling	stat3 pathway	thromboxan synthesis	tissue homeostasis	unknown signalling cascades	uptake of srbc	vascular associated smooth muscle cell migration	vasoconstriction	vasodilation	wound constriction	wound healing
Ca2+	ION	2	6	5	4	6	-5	0	-5	-4	4	-5	1	0	0	3	9	-7	9	0	0	3	-5	-11	0	-5	-4	-5	0	0	-6	6	-5	0	5	5	8	0	-5	5	-4	-4	-4	0	-5	3	-6	5	-6	0	0	4	4	5	-5	0	4	2	3	0	4	4	7	2	6	5	0	1	1	-6	0	-4	0	3	-5	-6	-6	4	2	-6	0	0	-6	-5	0	4	-4	4	-6	3	1	0	-6	3	-3	6	-6
BIRC3	PROTEIN	-5	-8	5	-5	6	-5	0	4	-4	-5	-5	-5	0	0	5	10	-7	-10	0	0	4	4	-10	0	-5	-4	3	0	0	6	-7	-6	0	-5	-5	-9	0	-6	-6	-5	-5	-4	0	5	-4	-6	-6	-6	0	0	5	-5	6	-6	0	-5	-4	-6	0	-5	3	7	-5	7	6	0	-6	-6	-7	0	-5	0	5	-4	6	6	-6	-5	-7	0	0	-6	5	0	-4	-5	6	-7	-4	-4	0	4	4	-4	-7	-7
PPP2CA	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RELA	PROTEIN	3	5	3	2	4	-3	0	-3	2	2	-3	3	0	0	-3	9	5	7	0	0	2	3	-9	0	-3	2	-3	0	0	4	4	-3	0	3	3	6	0	-3	3	2	-2	2	0	3	-2	-4	-5	4	0	0	3	2	5	3	0	2	2	-3	0	2	3	5	-4	6	5	0	3	3	5	0	-2	0	3	3	4	-4	3	4	5	0	0	-4	3	0	3	2	-5	-4	4	-3	0	-4	-4	4	5	-4
NFKB1	PROTEIN	3	5	4	2	5	-3	0	-3	2	2	-3	3	0	0	-3	-9	5	7	0	0	2	3	9	0	-3	2	-3	0	0	4	4	4	0	3	3	6	0	-3	3	2	-2	2	0	-4	-2	-4	-5	4	0	0	3	2	-5	3	0	2	2	-3	0	2	3	6	4	-6	-5	0	3	3	5	0	-2	0	-4	3	4	-4	3	4	5	0	0	-4	-4	0	2	2	-5	-4	4	3	0	-4	-4	4	5	-5
NFKB	COMPLEX	3	-6	4	2	5	3	0	4	3	-5	4	3	0	0	-5	-10	-7	-9	0	0	-5	3	-10	0	3	2	4	0	0	4	6	4	0	3	3	-8	0	5	-5	3	2	-3	0	-4	2	-5	-6	-4	0	0	-4	2	6	3	0	-4	2	-3	0	2	-5	6	4	-7	-6	0	3	3	5	0	4	0	4	3	5	-6	-4	4	5	0	0	-5	-4	0	-5	2	-6	4	5	3	0	5	-5	-5	6	-5
PTGS2	PROTEIN	-5	6	-5	-4	-6	-3	0	-4	2	-4	-5	-5	0	0	-5	-10	-6	8	0	0	4	-4	-10	0	-3	-4	-4	0	0	-5	5	-5	0	2	2	-8	0	4	4	-4	-4	-3	0	-5	-3	-5	-6	-6	0	0	-4	-4	-6	4	0	4	-4	-5	0	-4	-4	-7	-5	-7	-6	0	-5	-5	6	0	-4	0	-4	2	4	-6	4	5	6	0	0	4	-5	0	4	-4	5	-5	-5	-4	0	-5	5	-5	-6	6
IL1B	PROTEIN	-5	-7	-5	-4	-6	-4	0	-5	3	-4	-5	-5	0	0	-5	-10	-6	-9	0	0	-4	-5	-11	0	-4	-4	-5	0	0	-6	-6	-5	0	3	3	-8	0	-5	-5	-4	-4	-4	0	-5	2	-6	-7	-6	0	0	-3	3	-6	-5	0	-3	-4	-4	0	3	-5	-7	-5	-7	-6	0	-5	-5	-7	0	3	0	-4	3	5	-6	-5	-5	-7	0	0	5	-5	0	4	-4	6	-6	-5	-4	0	-6	5	-5	-7	6
APP	PROTEIN	-5	6	5	4	6	4	0	-5	-4	-5	3	-5	0	0	5	9	5	9	0	0	-5	4	10	0	4	4	-3	0	0	-5	-7	-6	0	4	4	-9	0	-6	-6	4	-5	-4	0	4	-3	-6	6	-5	0	0	4	-5	5	-5	0	-5	-5	4	0	-5	-4	7	4	6	5	0	-5	-5	5	0	-5	0	-5	-4	-6	-7	4	4	5	0	0	-6	4	0	-5	4	-7	-7	-4	3	0	-4	4	-4	6	6
sAPPalpha	PROTEIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
