Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m2880	9	9	0	9	50	9
m2879	0	10.5	0	10.5	0	10.5
m1691	0	0	0	0	0	0
m2901	1	1	0	1	52	1
m2871	0	0	0	0	0	0
m2870	0	0	0	0	0	0
m2886	2	2	2	2	2	2
m2865	0	0	0	0	0	0
m2890	52	42	0	42	42	42
m1096	0	0	0	0	0	0
m2872	0	0	0	0	0	0
m2521	0	0	0	0	0	0
m2863	0	0	0	0	0	0
m2864	0	0	0	0	0	0
m809	0	0	0	0	0	0
m2564	0	0	0	0	0	0
m2866	0	0	0	0	0	0
m2885	0	0	0	0	0	0
m2536	41	41	0	41	41	41
m317	40	40	0	40	40	40
m2754	0	0	0	0	0	0
m2869	0	0	0	0	0	0
m164	24	24	0	24	24	24
m491	0	0	0	0	0	0
m388	0	0	0	0	0	0
m1690	0	0	0	0	0	0
m2873	0	0	0	0	0	0
m782	0	0	0	0	0	0
m404	0	0	0	0	0	0
m1403	0	0	0	0	0	0
m1900	0	0	0	0	0	0
m987	0	0	0	0	0	0
m579	0	0	0	0	0	0
m1399	0	0	0	0	0	0
m2874	0	0	0	0	0	0
m306	29	29	0	29	29	29
m434	0	0	0	0	0	0
m173	0	0	0	0	0	0
m763	1	1	0	1	1	1
m1364	2	2	0	2	2	2
m818	0	0	0	0	0	0
m834	0	0	0	0	0	0
m1719	1	1	0	1	1	1
m1166	0	0	0	0	0	0
m394	2	2	0	2	2	2
m349	5	5	0	5	5	5
m2235	0	0	0	0	0	0
m2749	0	0	0	0	0	0
m998	0	0	0	0	0	0
m2897	0	0	0	0	0	0
m2898	0	0	0	0	0	0
m2899	0	0	0	0	0	0
m161	0	0	0	0	0	0
m367	0	0	0	0	0	0
m881	0	0	0	0	0	0
m882	0	0	0	0	0	0
m885	0	0	0	0	0	0
m999	0	0	0	0	0	0
m871	0	0	0	0	0	0
m1393	0	0	0	0	0	0
m817	0	0	0	0	0	0
m566	0	0	0	0	0	0
m68	0	0	0	0	0	0
m296	0	0	0	0	0	0
m2086	0	0	0	0	0	0
m1387	0	0	0	0	0	0
m2125	0	0	0	0	0	0
m988	0	0	0	0	0	0
m1116	0	0	0	0	0	0
m1039	0	0	0	0	0	0
m2189	0	0	0	0	0	0
m70	0	0	0	0	0	0
m1427	0	0	0	0	0	0
m1200	0	0	0	0	0	0
m140	0	0	0	0	0	0
m2681	0	0	0	0	0	0
m6	0	0	0	0	0	0
m862	0	0	0	0	0	0
m2722	0	0	0	0	0	0
m2741	0	0	0	0	0	0
m457	0	0	0	0	0	0
m530	0	0	0	0	0	0
m31	0	0	0	0	0	0
m333	0	0	0	0	0	0
m1275	0	0	0	0	0	0
m1527	0	0	0	0	0	0
m13	0	0	0	0	0	0
m1997	0	0	0	0	0	0
m419	0	0	0	0	0	0
m1120	0	0	0	0	0	0
m23	0	0	0	0	0	0
m387	0	0	0	0	0	0
m2888	0	0	0	0	0	0
m198	0	0	0	0	0	0
m2889	0	0	0	0	0	0
m405	0	0	0	0	0	0
m760	0	0	0	0	0	0
m1386	0	0	0	0	0	0
m1122	0	0	0	0	0	0
m1436	0	0	0	0	0	0
m1281	0	0	0	0	0	0
m59	0	0	0	0	0	0
m701	0	0	0	0	0	0
m2194	0	0	0	0	0	0
m528	0	0	0	0	0	0
m22	0	0	0	0	0	0
m328	0	0	0	0	0	0
m329	0	0	0	0	0	0
m57	0	0	0	0	0	0
m103	0	0	0	0	0	0
m342	0	0	0	0	0	0
m1297	0	0	0	0	0	0
m1656	0	0	0	0	0	0
m17	0	0	0	0	0	0
m1721	0	0	0	0	0	0
m1750	0	0	0	0	0	0
m1723	0	0	0	0	0	0
m1898	0	0	0	0	0	0
m122	0	0	0	0	0	0
m683	0	0	0	0	0	0
m2161	0	0	0	0	0	0
m420	0	0	0	0	0	0
m2620	0	0	0	0	0	0
m2674	0	0	0	0	0	0
m303	0	0	0	0	0	0
m657	0	0	0	0	0	0
m953	0	0	0	0	0	0
m2304	0	0	0	0	0	0
m992	0	0	0	0	0	0
m5	0	0	0	0	0	0
m835	0	0	0	0	0	0
m2310	0	0	0	0	0	0
m2277	0	0	0	0	0	0
m1717	0	0	0	0	0	0
m1169	0	0	0	0	0	0
m1228	0	0	0	0	0	0
m2206	0	0	0	0	0	0
m2385	0	0	0	0	0	0
m1826	0	0	0	0	0	0
m359	0	0	0	0	0	0
m549	0	0	0	0	0	0
m870	0	0	0	0	0	0
m96	0	0	0	0	0	0
m1554	0	0	0	0	0	0
m1766	0	0	0	0	0	0
m706	0	0	0	0	0	0
m348	0	0	0	0	0	0
m92	0	0	0	0	0	0
m1647	0	0	0	0	0	0
m2138	0	0	0	0	0	0
m2279	0	0	0	0	0	0
m863	0	0	0	0	0	0
m662	0	0	0	0	0	0
m994	0	0	0	0	0	0
m2894	0	43.5	0	43.5	0	43.5
m2891	0	0	0	0	0	0
m294	0	0	0	0	0	0
m2896	0	0	0	0	0	0
m209	0	0	0	0	0	0
