Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m9	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0	0	0	0
m15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m14	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
m25	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0
m3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m16	0.333333333333333	0.25	0.2	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0
m24	0.333333333333333	0.25	0.2	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0
m34	0.5	0.333333333333333	0.25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
m30	0.333333333333333	0.25	0.2	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0
m31	0.333333333333333	0.25	0.2	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0
m32	0.333333333333333	0.25	0.2	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0
m33	1	0.5	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m37	0.1	0.0909090909090909	0.25	0	0.111111111111111	0.111111111111111	0	0.1	0.1	0.1	0.111111111111111	0.125	0.1	0.1	0	0	0.125	0.125	0.125
m42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m72	0.0909090909090909	0.0833333333333333	0.2	0	0.1	0.1	0	0.0909090909090909	0.0909090909090909	0.0909090909090909	0.1	0.111111111111111	0.0909090909090909	0.0909090909090909	0	0	0.111111111111111	0.111111111111111	0.111111111111111
m44	0.1	0.0909090909090909	0.25	0	0.111111111111111	0.111111111111111	0	0.1	0.1	0.1	0.111111111111111	0.125	0.1	0.1	0	0	0.125	0.125	0.125
m35	0.125	0.111111111111111	0.333333333333333	0	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125	0.142857142857143	0.166666666666667	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m45	0.125	0.111111111111111	0.5	0	0.142857142857143	0.142857142857143	0	0.125	0.125	0.125	0.142857142857143	0.166666666666667	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m67	0.111111111111111	0.1	0.333333333333333	0	0.125	0.125	0	0.111111111111111	0.111111111111111	0.111111111111111	0.125	0.142857142857143	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m46	0	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m47	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m55	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m36	0.1	0.0909090909090909	0.25	0	0.111111111111111	0.111111111111111	0	0.1	0.1	0.1	0.111111111111111	0.125	0.1	0.1	0	0	0.125	0.125	0.125
m68	0.111111111111111	0.1	0.333333333333333	0	0.125	0.125	0	0.111111111111111	0.111111111111111	0.111111111111111	0.125	0.142857142857143	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m70	0.111111111111111	0.1	0.125	0	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111	0.125	0.142857142857143	0.1	0.1	0	0	0.125	0.125	0.125
m69	0.125	0.111111111111111	0.142857142857143	0	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125	0.142857142857143	0.166666666666667	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m49	0.142857142857143	0.125	0.166666666666667	0	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143	0.166666666666667	0.2	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m73	0.1	0.0909090909090909	0.25	0	0.111111111111111	0.111111111111111	0	0.1	0.1	0.1	0.111111111111111	0.125	0.1	0.1	0	0	0.125	0.125	0.125
m71	0.111111111111111	0.1	0.333333333333333	0	0.125	0.125	0	0.111111111111111	0.111111111111111	0.111111111111111	0.125	0.142857142857143	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m75	0	0	0	0	0.2	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0
m76	0	0	0	0	0.25	0.2	0	0.2	0	0.2	0	0	0	0	0	0	0	0	0
m79	0	0	0	0	0.2	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0
m114	0	0	0	0	0.333333333333333	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0
m115	0	0	0	0	0.25	0.2	0	0.2	0	0.2	0	0	0	0	0	0	0	0	0
m81	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m89	0	0	0	0	0.333333333333333	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0
m90	0	0	0	0	1	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0
m92	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m128	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m130	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
