Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	cheparon mediated autophagy	er stress	fabry disease	farber disease	gaucher disease	gaucher disease type-1	gaucher disease type-2	gaucher disease type-3	gm1 gangliosidosis	krabbe disease	macroautophagy	mitochondrial dysfunction	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	ubiquitin-dependent proteasomal degradation	unfolded protein response
m22	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0
m20	0	0	0	3	0	0	3	3	0	0	0	3	3	0	0	0	3	0	0	0	0	3	2	0	0
m23	0	0	0	3	0	0	3	3	0	0	0	1	3	0	0	0	3	0	0	0	0	1	1	0	0
m19	0	0	0	3	0	0	3	3	0	0	0	3	3	0	0	0	3	0	0	0	0	2	0	0	0
m14	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0
m15	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
m16	0	0	0	3	0	2	3	3	0	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	0
m30	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
m12	0	0	0	5	0	0	5	5	0	0	0	4	5	0	0	0	5	0	0	0	0	0	0	0	0
m24	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
m33	0	0	0	7	0	0	6	7	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0
m28	0	0	0	5	0	0	20	20	0	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0
m25	0	0	0	5	14	0	14	14	0	0	0	0	14	14	13	0	14	0	0	0	0	0	0	0	13
m4	0	0	0	0	0	0	4	4	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0
m8	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
m18	0	0	0	0	0	0	5	5	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0
m7	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m32	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
m10	0	0	0	2	0	0	2	2	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0
m34	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m77	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
m57	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m51	0	0	0	0	0	0	3	3	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
m42	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m50	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m47	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
m60	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m65	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
m67	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m68	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m66	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
