Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m14	3	3	3	0	0	0	0	0	3	0	3	3	3	3	0	0	0	0	0
m25	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m16	2	2	2	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m24	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m34	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0
m30	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m31	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m32	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m33	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0
m37	2	2	2	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m72	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m44	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m35	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m45	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m67	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m46	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m47	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m55	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m62	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m36	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m68	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m70	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m69	2	2	2	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m73	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
